dataset,dataset_shape,autogluon_score,autogluon_time,accelera_score,accelera_time,dataset_type,problem_type
ai_student,"(50000, 16)",0.5378851362377872,145.10809588432312,0.5376664118785144,14.891313314437866,tabular_dataset,classification
gaming_addiction,"(250, 49)",1.0,88.52402877807617,1.0,26.11479163169861,tabular_dataset,classification
Teen_Mental_Health_Dataset,"(1200, 13)",0.9956483814692769,456.03117203712463,1.0,5.4004225730896,tabular_dataset,classification
student_exam_performance_dataset,"(10000, 17)",0.8564062019394214,18.911290168762207,0.8544392347478716,5.696520090103149,tabular_dataset,classification
heart,"(302, 14)",0.819672131147541,2.5819079875946045,0.8030671602326811,2.9451406002044678,tabular_dataset,classification
Dataset_spine,"(310, 7)",0.765103647045782,2.9667623043060303,0.8131954591435316,2.7067604064941406,tabular_dataset,classification
diabetes_dataset,"(100000, 31)",0.9993500064879188,24.34411907196045,0.9995000199460577,14.784825563430786,tabular_dataset,classification
student_placement_synthetic,"(100000, 18)",1.0,55.621922969818115,0.998800607037577,5.472823858261108,tabular_dataset,classification
Titanic-Dataset,"(891, 12)",0.8074907442165153,8.815937280654907,0.8145631164989356,2.1342203617095947,tabular_dataset,classification
customer_purchase_data,"(1388, 9)",0.9243372569975171,2.0728323459625244,0.9315932362571933,2.1369316577911377,tabular_dataset,classification
job_salary_prediction_dataset,"(250000, 10)",0.9819385409355164,1122.5803287029266,0.9817533852220316,209.04070711135864,tabular_dataset,regression
Housing,"(545, 13)",0.6134319305419922,19.954561471939087,0.597526512159075,2.612506628036499,tabular_dataset,regression
TestReviews,"(4148, 2)",0.9162202133338766,31.043283462524414,0.9017597496808907,39.10626769065857,text_dataset,classification
DailyDialog,"(10277, 2)",0.5819668721993708,22.312849283218384,0.5891975694777893,59.92466354370117,text_dataset,classification
